delta,exact,quadratic
-1.2,1.1201169227365473,0.72
-1.15,1.0081929096897673,0.6612499999999999
-1.1,0.9041660239464333,0.6050000000000001
-1.05,0.8076511180631638,0.55125
-1.0,0.7182818284590451,0.5
-0.95,0.635709659315846,0.45125
-0.9,0.5596031111569498,0.405
-0.85,0.4896468519259908,0.36124999999999996
-0.8,0.42554092849246783,0.32000000000000006
-0.75,0.3670000166126748,0.28125
-0.7,0.3137527074704767,0.24499999999999997
-0.65,0.2655408290138962,0.21125000000000002
-0.6,0.2221188003905089,0.18
-0.55,0.18325301786739523,0.15125000000000002
-0.5,0.1487212707001282,0.125
-0.45,0.11831218549016892,0.10125
-0.4,0.09182469764127033,0.08000000000000002
-0.35,0.06906754859325714,0.06124999999999999
-0.3,0.049858807576003195,0.045
-0.25,0.034025416687741394,0.03125
-0.2,0.021402758160169844,0.020000000000000004
-0.15,0.011834242728283068,0.01125
-0.1,0.005170918075647707,0.005000000000000001
-0.05,0.001271096376024114,0.0012500000000000002
0.0,0.0,0.0
0.05,0.0012294245007140187,0.0012500000000000002
0.1,0.004837418035959523,0.005000000000000001
0.15,0.010707976425057802,0.01125
0.2,0.018730753077981832,0.020000000000000004
0.25,0.02880078307140488,0.03125
0.3,0.040818220681717865,0.045
0.35,0.05468808971871342,0.06124999999999999
0.4,0.07032004603563935,0.08000000000000002
0.45,0.08762815162177334,0.10125
0.5,0.10653065971263342,0.125
0.55,0.1269498103804867,0.15125000000000002
0.6,0.14881163609402637,0.18
0.65,0.17204577676101607,0.21125000000000002
0.7,0.19658530379140948,0.24499999999999997
0.75,0.2223665527410147,0.28125
0.8,0.2493289641172216,0.32000000000000006
0.85,0.2774149319487267,0.36124999999999996
0.9,0.30656965974059913,0.405
0.95,0.3367410234545012,0.45125
1.0,0.36787944117144233,0.5
1.05,0.3999377491111553,0.55125
1.1,0.4328710836980796,0.6050000000000001
1.15,0.4666367693790532,0.6612499999999999
1.2,0.5011942119122021,0.72
