iteration,objective_gap,step,residual
1,0.19160324647532434,0.6318756482042717,6.318756482042716
2,0.0015463646337821046,0.055715450910920006,0.5571545091091821
3,1.2752506762581106e-05,0.005051099063474007,0.0505109906347343
4,1.0537206662775134e-07,0.0004590758500006009,0.004590758499986691
5,8.708127552381484e-10,4.173321817035891e-05,0.00041733218169781594
6,7.16227077646181e-12,3.793921073302897e-06,3.79392107276999e-05
7,5.684341886080802e-14,3.449018508572266e-07,3.449018521450853e-06
8,1e-16,3.135471315918181e-08,3.135471473569851e-07
9,1e-16,2.8504285598529577e-09,2.8504288707154046e-08
10,1e-16,2.591297176834928e-10,2.5913067247529398e-09
11,1e-16,2.3557378270311347e-11,2.355733386139036e-10
12,1e-16,2.1415091921994645e-12,2.142996891052462e-11
